"F.S. Union Llagostense Mecman Infantil ""A""""";4 - 3;"Escola de Futsal Grèvol Infantil ""B""";14/10/2017;10:00;1;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";-;Descansa;14/10/2017;12:00;1;"Infantil ""A""";09. Infantil
Teià F5 Infantil;5 - 2;A.E. Sallent Infantil;14/10/2017;12:00;1;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";7 - 0;E.P. Badalona Centre Infantil;14/10/2017;13:15;1;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";2 - 2;Sagrerenc C.E.Infantil;14/10/2017;17:00;1;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;1 - 5;Teià F5 Infantil;21/10/2017;11:00;2;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";1 - 3;"Escola Pia Santa Anna Mataró Infantil ""A""";21/10/2017;12:00;2;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;0 - 4;"F.S. Union Llagostense Mecman Infantil ""A""""";21/10/2017;12:15;2;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;0 - 15;"Escola de Futsal Grèvol Infantil ""A""";21/10/2017;15:30;2;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";-;Descansa;28/10/2017;10:45;3;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";7 - 0;A.E. Sallent Infantil;28/10/2017;12:00;3;"Infantil ""A""";09. Infantil
Teià F5 Infantil;4 - 3;Sagrerenc C.E.Infantil;28/10/2017;12:00;3;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";16 - 3;"F.S. Esclop Infantil ""B""";28/10/2017;12:00;3;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";11 - 1;E.P. Badalona Centre Infantil;28/10/2017;12:45;3;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;2 - 9;"Escola de Futsal Grèvol Infantil ""B""";04/11/2017;11:00;4;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;1 - 2;"Escola Pia Santa Anna Mataró Infantil ""A""";04/11/2017;12:15;4;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;2 - 4;"F.S. Union Llagostense Mecman Infantil ""A""""";04/11/2017;12:45;4;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";2 - 3;"Escola de Futsal Grèvol Infantil ""A""";05/11/2017;12:00;4;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";2 - 6;"Escola de Futsal Grèvol Infantil ""A""";11/11/2017;12:00;5;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;4 - 0;E.P. Badalona Centre Infantil;11/11/2017;12:15;5;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";11 - 0;Sagrerenc C.E.Infantil;11/11/2017;13:15;5;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";-;Descansa;12/11/2017;12:15;5;"Infantil ""A""";09. Infantil
Teià F5 Infantil;2 - 5;"F.S. Esclop Infantil ""B""";25/11/2017;12:00;5;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";5 - 1;Teià F5 Infantil;18/11/2017;09:30;6;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;1 - 10;"Escola Pia Santa Anna Mataró Infantil ""A""";18/11/2017;11:00;6;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;0 - 4;A.E. Sallent Infantil;18/11/2017;12:45;6;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";4 - 5;"F.S. Union Llagostense Mecman Infantil ""A""""";18/11/2017;17:00;6;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";7 - 4;"F.S. Esclop Infantil ""B""";02/12/2017;12:00;7;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;-;Descansa;02/12/2017;12:15;7;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;1 - 3;E.P. Badalona Centre Infantil;02/12/2017;12:45;7;"Infantil ""A""";09. Infantil
Teià F5 Infantil;7 - 2;"Escola Pia Santa Anna Mataró Infantil ""A""";03/12/2017;10:00;7;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";0 - 4;"Escola de Futsal Grèvol Infantil ""A""";25/11/2017;17:00;7;"Infantil ""A""";09. Infantil
Teià F5 Infantil;-;"F.S. Union Llagostense Mecman Infantil ""A""""";10/02/2018;12:00;8;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";8 - 1;"Escola de Futsal Grèvol Infantil ""B""";16/12/2017;10:45;8;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";12 - 3;Sagrerenc C.E.Infantil;16/12/2017;12:00;8;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";3 - 0;A.E. Sallent Infantil;16/12/2017;13:00;8;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;2 - 8;"F.S. Esclop Infantil ""B""";13/01/2018;11:00;9;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";2 - 7;Teià F5 Infantil;13/01/2018;12:00;9;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;3 - 2;"Escola de Futsal Grèvol Infantil ""A""";13/01/2018;12:15;9;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;-;Descansa;13/01/2018;;9;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";3 - 2;"Escola Pia Santa Anna Mataró Infantil ""A""";14/01/2018;10:45;9;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;1 - 2;Teià F5 Infantil;20/01/2018;11:00;10;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;1 - 9;"Escola de Futsal Grèvol Infantil ""A""";20/01/2018;11:00;10;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";1 - 5;"F.S. Union Llagostense Mecman Infantil ""A""""";20/01/2018;12:00;10;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;2 - 1;"F.S. Esclop Infantil ""B""";20/01/2018;12:15;10;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";7 - 0;Sagrerenc C.E.Infantil;27/01/2018;10:00;11;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";2 - 1;"Escola de Futsal Grèvol Infantil ""B""";27/01/2018;10:15;11;"Infantil ""A""";09. Infantil
Teià F5 Infantil;7 - 1;E.P. Badalona Centre Infantil;27/01/2018;12:00;11;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";-;Descansa;27/01/2018;17:00;11;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";7 - 0;A.E. Sallent Infantil;28/01/2018;12:00;11;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;-;"F.S. Union Llagostense Mecman Infantil ""A""""";03/02/2018;11:00;12;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;-;"Escola de Futsal Grèvol Infantil ""B""";03/02/2018;12:15;12;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;-;Teià F5 Infantil;03/02/2018;12:45;12;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";-;"Escola Pia Santa Anna Mataró Infantil ""A""";04/02/2018;12:00;12;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";-;"F.S. Esclop Infantil ""B""";17/02/2018;11:45;13;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";-;A.E. Sallent Infantil;17/02/2018;12:00;13;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";-;E.P. Badalona Centre Infantil;17/02/2018;13:00;13;"Infantil ""A""";09. Infantil
Teià F5 Infantil;-;Descansa;18/02/2018;10:00;13;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";-;Sagrerenc C.E.Infantil;18/02/2018;12:00;13;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;-;A.E. Sallent Infantil;24/02/2018;11:00;14;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;-;"Escola de Futsal Grèvol Infantil ""B""";24/02/2018;12:45;14;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";-;"Escola Pia Santa Anna Mataró Infantil ""A""";24/02/2018;13:30;14;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";-;Teià F5 Infantil;24/02/2018;17:00;14;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";-;Descansa;10/03/2018;10:45;15;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";-;E.P. Badalona Centre Infantil;10/03/2018;12:00;15;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;-;Sagrerenc C.E.Infantil;10/03/2018;12:15;15;"Infantil ""A""";09. Infantil
Teià F5 Infantil;-;"Escola de Futsal Grèvol Infantil ""A""";11/03/2018;10:00;15;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";-;"F.S. Esclop Infantil ""B""";11/03/2018;12:15;15;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;-;Sagrerenc C.E.Infantil;17/03/2018;11:00;16;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";-;"F.S. Union Llagostense Mecman Infantil ""A""""";17/03/2018;11:10;16;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";-;Teià F5 Infantil;17/03/2018;12:00;16;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";-;"Escola de Futsal Grèvol Infantil ""B""";17/03/2018;17:00;16;"Infantil ""A""";09. Infantil
E.P. Badalona Centre Infantil;-;Descansa;14/04/2018;11:00;17;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""B""";-;"Escola de Futsal Grèvol Infantil ""A""";14/04/2018;11:15;17;"Infantil ""A""";09. Infantil
Sagrerenc C.E.Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""A""";14/04/2018;11:30;17;"Infantil ""A""";09. Infantil
A.E. Sallent Infantil;-;"F.S. Esclop Infantil ""B""";14/04/2018;12:15;17;"Infantil ""A""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""A""""";-;Teià F5 Infantil;15/04/2018;12:15;17;"Infantil ""A""";09. Infantil
"Escola de Futsal Grèvol Infantil ""A""";-;A.E. Sallent Infantil;21/04/2018;11:00;18;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""A""";-;"F.S. Union Llagostense Mecman Infantil ""A""""";21/04/2018;12:00;18;"Infantil ""A""";09. Infantil
"F.S. Esclop Infantil ""B""";-;E.P. Badalona Centre Infantil;21/04/2018;17:00;18;"Infantil ""A""";09. Infantil
Teià F5 Infantil;-;"Escola de Futsal Grèvol Infantil ""B""";22/04/2018;10:00;18;"Infantil ""A""";09. Infantil
