Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;F.S. La Salut;5 - 2;C.E.F.S. Granollers C;LAUREANO PILAR VILLALBA- NICOLAS ANDRES VALBUENA TORRES;13/04/2018;22:00;PavellÓ Municipal De Can Bassa;Jornada 19;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Betània Patmos Barcelona Cadet;3 - 6;Neurofutbol F.S.;CRISTIANO RODI;14/04/2018;10:00;Escola Betània Patmos- Carrer de Montevideo- Barcelona- Espanya;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"Escola de Futsal Grèvol Cadet ""A""";7 - 1;Montsant Sala 5 Cadet;LAURA PUCHE BARRANQUERO;14/04/2018;10:00;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S Union La Salut Badalona A;5 - 3;Sagrerenc C.E. B;JOSE MANUEL GÜISADO PLIBERSCHNIG- MATILDE GOMEZ VIÑARAS;14/04/2018;10:00;CEM Besòs Ronda Sant Ramon de Penyafort s/n 08930 SAnt Adrià de Besòs;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Escola Pia Santa Anna Mataró Infantil ""B""";2 - 5;"F.S. Union Llagostense Mecman Infantil ""B""";DAVID VALIENTE MARTIN;14/04/2018;10:15;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 17;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Ivars d'Urgell F.S.F.;0 - 3;Futbol Sala Femení Vila-Sana;LLUIS GONZALEZ BEAS;14/04/2018;11:00;PAVELLÓ POLIESPORTIU IVARS D'URGELL;Jornada 17;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Betania F.S.Juvenil;6 - 3;C.F.S. La Garriga Juvenil A;ALBERT GONZALEZ GARCIA;14/04/2018;11:00;Trinitat Vella Centre Esportiu Municipal;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Sagrerenc C.E.Infantil;2 - 4;"Escola Pia Santa Anna Mataró Infantil ""A""";ISMAEL BENKHAJOU BAKKALI;14/04/2018;11:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;A.E. Sallent Infantil;3 - 1;"F.S. Esclop Infantil ""B""";JORDI GAITX PLA;14/04/2018;12:15;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;"Escola de Futsal Grèvol Infantil ""B""";2 - 7;"Escola de Futsal Grèvol Infantil ""A""";LAURA PUCHE BARRANQUERO;14/04/2018;12:20;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;Sagrerenc C.E. Juvenil B;2 - 2;F.S. Hostalriquenc Juvenil;ISMAEL BENKHAJOU BAKKALI;14/04/2018;12:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 17;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;A.E. Centelles Aleví;1 - 8;"Olimpic Argentona Aleví ""A""";RICARD MARQUEZ SIMONI;14/04/2018;12:30;Pavello Mpal de Centelles;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;A.E. Sallent Aleví;7 - 4;C.E. Maristes De Rubí Aleví B;JORDI GAITX PLA;14/04/2018;13:30;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""A""""";3 - 1;Teià F5 Infantil;JOEL JIMENEZ RODRIGUEZ;14/04/2018;13:45;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;Celler de l' Arnau;1 - 0;Jovents Balaguer;FRANCISCO JUAN INGLES PAREJA;14/04/2018;15:00;BALAGUER POLIESPORTIU CARRER URGELL;Jornada 17;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Futsal Cassà;3 - 6;E.F.S. Ripoll B Sant Pau de Segúries;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;14/04/2018;15:30;PavellÓ Tres Pistes;Jornada 17;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.s. Borges Femení;4 - 2;Alcarràs - Fraga Futsal;OSCAR CRUZ OSUNA;14/04/2018;15:30;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 17;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;F.s. Unión Llagostense MecMan Juvenil Nacional;3 - 2;A.C. Coloso Juvenil Nacional;JOEL JIMENEZ RODRIGUEZ- SAMUEL SERRANO MATA;14/04/2018;16:00;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 5;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;F.C. Ivars De Noguera;5 - 1;Gela;ELI GASCÓN PEREIRO- GERMAN MARTIN FERNANDEZ;14/04/2018;16:00;Zona Esportiva Municipal Carrer Professor Gimeno- 1- 25122 Ivars de Noguera- Lleida;Jornada 17;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;E.F.S. Alta Segarra Femení;1 - 6;FS Vinaixa Femeni;HAFID AIKAR EL MIRI;14/04/2018;16:00;Pavelló Municipal De Calaf;Jornada 17;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Futbol Sala Corbera Juvenil;2 - 5;Athletic Torre Roja Juvenil;DOMENEC FOLGUERA AMPURDANES;14/04/2018;16:00;Pabellón Municipal de Deportes- C/Josep Tarradellas- 08757 Corbera de Llobregat;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.E.F.S. Granollers Cadet;3 - 6;C.E. Maristes De Rubí Cadet;MIQUEL VILASECA BARRUFET;14/04/2018;16:00;PavellÓ Municipal De Can Bassa;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;C.E. Maristes De Rubí Aleví A;13 - 2;F.S. Esclop Aleví;MARI CARMEN DELGADO MORALES;14/04/2018;16:00;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;C.D Esmeralda Procell F.s.;11 - 4;"Athletic Arrahona - Can Jonqueres ""A""";DAVID GALLARDO BARÓ- MARCO ANTONIO GALLARDO BARÓ;14/04/2018;16:00;Poliesportiu de Canyamars CamÍ del Forn- 10- 08318 Dosrius- Barcelona;Jornada 20;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Padre Damián Sagrados Corazones ""B""";4 - 3;CFS Ibers Santa Coloma;JOSE MANUEL GÜISADO PLIBERSCHNIG- MATILDE GOMEZ VIÑARAS;14/04/2018;16:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Gelida Industrial F.S.C. ""A""";4 - 2;A.E.F.S. Montgat;ADRIA VENTEO GONZÁLEZ- JOAN RAMON BERNARDO MAÑÉ- JONATHAN GALVIS ARANGO;14/04/2018;16:15;Pavelló Municipal d'Esports de Gelida;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Athletic Aguilar A;7 - 4;"Club Futsal Alcarràs ""B""";ADRIA VENTEO GONZÁLEZ- JONATHAN GALVIS ARANGO;14/04/2018;16:30;Zona Esportiva - Aguilar de Segarra;Jornada 17;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Telic Group Bigues i Riells Juvenil ""A""";3 - 1;A.E. Sallent Juvenil;CARLOS GÓMEZ GONZÁLEZ;14/04/2018;16:30;Pavellon Can Badell- Avinguda Prat de la Riba- Bigues i Riells- Espanya;Jornada 17;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Atletic Arrahona B;2 - 1;Futbol Sala Colomense;LAUREANO PILAR VILLALBA;14/04/2018;16:30;Pavelló esports c/ sol i padris- 59 08203 Sabadell;Jornada 23;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Ca La Guidó Futsal;5 - 9;Atlètic Vidreres;KEVIN ORTIZ MONGE- MIGUEL ANGEL MONGE PEREZ;14/04/2018;17:00;Ciutat Esportiva Blanes- Blanes- Espanya;Jornada 17;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.F.S. Ponts;8 - 3;F.S.R. Massoteres - Sant Guim de la Plana;DAVID MACARULLA CASTAÑEDA;14/04/2018;17:00;PONTS PAVELLÓ MUNICIPAL;Jornada 17;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. La Garriga Aleví;5 - 2;Sagrerenc C.E. Aleví;OMAR DOUAS BERROHOUY;14/04/2018;17:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Sagrerenc C.E. A;7 - 5;C.E.F.S. Granollers;ANTONIO RUIZ MANCHON- DAVID VALIENTE MARTIN- MARC MIRON RUIZ;14/04/2018;17:00;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.E. Orange Papiol;1 - 1;C.f.s. Alcalà Prat - Bar La Terraza;JOSE PEDRO CASES FERNANDEZ- MARIANO BENITO HERRERO- MOUAD HADDADI HARNAFI;14/04/2018;17:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;A.E. Tiana B;4 - 3;"Padre Damián Sagrados Corazones ""C""";ISMAEL BENKHAJOU BAKKALI;14/04/2018;17:00;Poliesportiu Municipal De Tiana;Jornada 23;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.E.F.S. Granollers Pre-benjamí;7 - 2;Sagrerenc C.E. Pre-benjamí;MIQUEL VILASECA BARRUFET;14/04/2018;17:30;PavellÓ Municipal De Can Bassa;Jornada 6;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Mestre D Aixa U.a. Tossa;4 - 3;Atlètic Vidreres B;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;14/04/2018;17:30;PAVELLÓ MUNICIPAL D'ESPORTS DE TOSSA;Jornada 17;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. Unión Llagostense MecMan;2 - 1;A.E. Tiana;ISMAEL CHAMERO RIVERO- JOEL JIMENEZ RODRIGUEZ- SAMUEL SERRANO MATA;14/04/2018;17:30;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Escola Pia Santa Anna Mataró;7 - 3;C.F.S. Lliça De Vall;CARLOS ARANDA PORTILLO- GABRIEL MORALES CAÑAS- ROGER TORRENT ARNAU;14/04/2018;17:30;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Futsal Cadaqués;8 - 4;F.S. Hostalriquenc;DANIEL MORENO LEON- FERRAN RUIZ MEDINA;14/04/2018;18:00;Pavelló Municipal de Cadaqués- Cadaqués- Espanya;Jornada 17;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;Joves de Vidreres C.F.S.;8 - 0;Club Futbol Sala Guíxols;GABINO FERNÁNDEZ SEGURA- LLUIS SANCHEZ GARCIA;14/04/2018;18:00;Pavelló d'Esports Vidreres Carrer Lloret- 2- 17411 Vidreres- Girona;Jornada 17;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.f.s. Alfarràs;3 - 3;Bar Passadis Dynamo Cervera F.s.;ELI GASCÓN PEREIRO- GERMAN MARTIN FERNANDEZ;14/04/2018;18:00;Pavello De Alfarras C/ Sisquella s/n Alfarràs;Jornada 17;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.C.A. Plaza Macael Juvenil;5 - 0;C.E. Maristes De Rubí Juvenil;DOMENEC FOLGUERA AMPURDANES;14/04/2018;18:00;Polideportivo Can Vidalet- Esplugues de Llobregat- Espanya;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.F.S. La Garriga Infantil;1 - 2;F.S. Llinars Infantil;OMAR DOUAS BERROHOUY;14/04/2018;18:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 17;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Padre Damian Sagrados Corazones;5 - 1;Futsal Dante;JOSE RIZO GOMEZ- MARI CARMEN DELGADO MORALES- MATILDE GOMEZ VIÑARAS;14/04/2018;18:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;E.F.S. Ripoll;3 - 1;Betània Patmos Barcelona;JORDI GAITX PLA- OSCAR KEVIN GUTIERREZ GUTIERREZ- RICARD MARQUEZ SIMONI;14/04/2018;18:30;Centre de Tecnificació Esportiva l'Avellaneda- Ripoll- Espanya;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Betis Catalunya F.S.;7 - 1;CFS Sagrada Familia;ALBERTO IGLESIAS PALOMARES- JOSE MANUEL GÜISADO PLIBERSCHNIG;14/04/2018;18:30;Poliesportiu Bon Pastor;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Borges ""B""";3 - 1;Oli Les Cabanes Juncosa F.S.;ELI GASCÓN PEREIRO- OSCAR CRUZ OSUNA;14/04/2018;19:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 17;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;Peramola F.s.;0 - 6;C.E.F.S. Fonollosa;DAVID MACARULLA CASTAÑEDA;14/04/2018;19:00;Poliesportiu Oliana;Jornada 17;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Orange Futsal Castellbisbal ""B"" - Nacional Femenina";0 - 5;C.e. Gadex Femení;;14/04/2018;19:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 17;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;Futbol Sala Femeni Lloret de Mar;0 - 16;"Pony´s Futbol Sala ""A""";FRANCESC CARNICAS LOPEZ- FRANCISCO JAVIER SANGUINO BLANQUIÑO;14/04/2018;19:00;Poliesportiu El MolÍ;Jornada 17;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;A.E. Moià Infantil;3 - 12;C.F.S. Alcalà Prat - Bar La Terraza Infantil;LAUREANO PILAR VILLALBA;14/04/2018;19:00;Pavelló Municipal d'Esports- Moià- Espanya;Jornada 17;"Infantil ""B""";;09. Infantil;Fútbol sala
;;C.E.F.S. Granollers C;1 - 3;Penya Recreativa Sant Feliu de Llobregat;DAVID GALLARDO BARÓ- MARCO ANTONIO GALLARDO BARÓ;14/04/2018;19:00;PavellÓ Municipal De Can Bassa;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Albelda Futsal;10 - 4;A.E. Les Botigues De Sitges;ELI GASCÓN PEREIRO- FRANCISCO JUAN INGLES PAREJA- LLUIS GONZALEZ BEAS;14/04/2018;19:00;Poliesportiu Municipal Tamarite de Litera- Camino Piscinas- 6 - Tamarite de Litera;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.s. Unión Llagostense MecMan B;1 - 1;Teià Futbol Cinc;ISMAEL CHAMERO RIVERO- JOEL JIMENEZ RODRIGUEZ- SAMUEL SERRANO MATA;14/04/2018;19:00;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;E.F.S. Alta Segarra;2 - 3;"Montsant Sala 5 ""A""";ADRIA VENTEO GONZÁLEZ- JOAN RAMON BERNARDO MAÑÉ- JONATHAN GALVIS ARANGO;14/04/2018;19:30;Pavelló Municipal De Calaf;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.C.A. Plaza Macael B;0 - 2;Sants Atletic F.S.;DOMENEC FOLGUERA AMPURDANES- ELVIA ELOISA CARDENAS RAMOS;14/04/2018;19:30;Polideportivo Can Vidalet- Esplugues de Llobregat- Espanya;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Restaurant 2007 La Fuliola;3 - 3;Futsal Bellmunt;GERMAN MARTIN FERNANDEZ;14/04/2018;19:59;Pista de les Escoles- cami de boldu s/n- 25332 La Fuliola;Jornada 17;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. Union Llagostense Mecman Cadet;2 - 8;A.E. Moià Cadet;ISMAEL BENKHAJOU BAKKALI;15/04/2018;10:45;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 17;"Cadet ""A""";;08. Cadet;Fútbol sala
;;F.S. Llinars Atletic Aleví;2 - 6;"Olimpic Argentona Aleví ""B""";BILAL ARROUCHDI;15/04/2018;10:45;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Olímpic Argentona Cadet;9 - 3;Sagrerenc C.E. Cadet A;MIQUEL VILASECA BARRUFET;15/04/2018;11:00;Pavelló Municipal d' Argentona;Jornada 17;"Cadet ""A""";;08. Cadet;Fútbol sala
;;"Futsal Dante ""B""";5 - 7;A.C.E. Sansur B;JOAN GIBERT REY- JOEL JIMENEZ RODRIGUEZ;15/04/2018;11:30;pavelló de Parque de la Creueta del Coll- Passeig de la Mare de Déu del Coll- Barcelona- España;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Esclop Infantil ""A""";16 - 0;"Escola Pia Santa Anna Mataró Infantil ""C""";MARIANO BURGOS BONAVENTURA;15/04/2018;12:00;Col·legi Públic Gaudí- Carrer d'Ordesa- Sabadell- Espanya;Jornada 17;"Infantil ""B""";;09. Infantil;Fútbol sala
;;F.S. Llinars Aleví;4 - 4;A.E. Moià Aleví;PABLO GARCIA LLUBIA;15/04/2018;12:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 17;"Aleví ""A""";;10. Aleví;Fútbol sala
;;C.E.F.S. Granollers B;1 - 1;F.S. Racing Llavaneres;CRISTIANO RODI- PAOLO FORTUNATI RUBEIS;15/04/2018;12:00;Pavello Municipal El Parquet carrer lluis companys- 10 08401 granollers;Jornada 20;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Olímpic Argentona ""B""";0 - 3;Futbol Sala Corbera;MIQUEL VILASECA BARRUFET;15/04/2018;12:00;Pavelló Municipal d' Argentona;Jornada 23;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. Inter Raudovan Hospitalet;3 - 1;Olímpic Argentona;ALBERTO IGLESIAS PALOMARES- CARLOS GÓMEZ GONZÁLEZ;15/04/2018;12:15;Poliesportiu Zal Barcelona BCN- Carrer de la Mar Roja- Barcelona- España;Jornada 20;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Esclop Juvenil ""B""";3 - 0;Montsant Sala 5 Juvenil;DAVID VALIENTE MARTIN;15/04/2018;12:30;Pavelló esports c/ sol i padris- 59 08203 Sabadell;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Teià Futbol Cinc B;3 - 3;Escola Pia Santa Anna Mataró B;ANTONIO RUIZ MANCHON- MARC MIRON RUIZ;15/04/2018;12:30;Poliesportiu Municipal El Cim- Carrer Josep Puigoriol s/n- Teià;Jornada 20;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Futsal Dante Cadet;4 - 4;"Escola de Futsal Grèvol Cadet ""B""";JOAN GIBERT REY;15/04/2018;13:15;pavelló de Parque de la Creueta del Coll- Passeig de la Mare de Déu del Coll- Barcelona- España;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"F.s. Hostalriquenc ""B""";-;Club futbol sala Santa Cristina;FRANCESC CARNICAS LOPEZ- FRANCISCO JAVIER SANGUINO BLANQUIÑO;15/04/2018;16:00;Pavelló Municipal d' Hostalric;Jornada 17;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. Llinars Cadet;1 - 4;A.E. Tiana Cadet;DAVID VALIENTE MARTIN;15/04/2018;17:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 17;"Cadet ""A""";;08. Cadet;Fútbol sala
;;F.S. Begues;3 - 4;F.S. Tèlic Group Bigues i Riells;CARLOS GÓMEZ GONZÁLEZ- JOSE RIZO GOMEZ- MIQUEL VILASECA BARRUFET;15/04/2018;17:00;Pavello Jaume Viñas Pi Club de Futbol Begues Carrer dels Esports- s/n 08859 Begues;Jornada 20;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Llinars Juvenil;6 - 4;Olimpic Argentona Juvenil;PABLO GARCIA LLUBIA;15/04/2018;18:15;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 17;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Betis Catalunya F.S. B;5 - 3;Atlètic Sant Boi;ADRIA VENTEO GONZÁLEZ;15/04/2018;18:45;Poliesportiu Bon Pastor;Jornada 23;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Athletic Torre Roja;2 - 2;F.S. La Salut;DOMENEC FOLGUERA AMPURDANES- ELVIA ELOISA CARDENAS RAMOS;15/04/2018;19:15;Avinguda dels Germans Gabrielistes- 16- Viladecans- Espanya;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Llinars Senior Femeni;2 - 1;A.E. Tiana Nacional Femenina;DAVID VALIENTE MARTIN- PABLO GARCIA LLUBIA;15/04/2018;19:30;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 17;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;C.E. Orange Papiol Femení;4 - 8;A.E. I.E.S. Manuel Blancafort;CRISTIANO RODI- PAOLO FORTUNATI RUBEIS;15/04/2018;19:50;PavellÓ Poliesportiu Municipal El Papiol;Jornada 17;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;P.B. Montgrí;4 - 3;Vilobí F.S.;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;15/04/2018;19:59;PavellÓ Municipal De Torroella De MontgrÍ;Jornada 17;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.F.S. Clot A;0 - 1;F.s. Borges;DAVID GUILLÉN CUELLAR- MARCO ANTONIO GALLARDO BARÓ- MATILDE GOMEZ VIÑARAS;15/04/2018;20:00;CEM Bac de Roda- Rambla de Guipúscoa- Barcelona- Espanya;Jornada 20;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Futsal Maçanet;5 - 4;CEFS Begur;FRANCISCO JAVIER SANGUINO BLANQUIÑO- JOAQUIM BRUGUES TURRO;15/04/2018;20:30;Pavelló Municipal Maçanet de la Selva;Jornada 17;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E.F.S. Montgat;0 - 3;Albelda Futsal;JOAN GIBERT REY- JONATHAN GALVIS ARANGO- JOSE RIZO GOMEZ;17/04/2018;21:00;Pavelló Municipal De Montgat;Jornada 19;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Montsant Sala 5 Cadet;0 - 9;Futsal Dante Cadet;ALBERT GONZALEZ GARCIA;18/04/2018;18:30;Institut Barcelona Congrés- Carrer del Baró d'Esponellà- Barcelona- Espanya;Jornada 14;"Cadet ""B""";;08. Cadet;Fútbol sala
